iter	Passed	Remaining
209	2476	9314
210	2489	9310
211	2500	9294
212	2511	9277
213	2520	9259
214	2530	9240
215	2541	9225
216	2552	9208
217	2562	9191
218	2572	9175
219	2582	9155
220	2592	9137
221	2601	9117
222	2611	9097
223	2621	9081
224	2630	9061
225	2641	9044
226	2650	9025
227	2660	9006
228	2669	8988
229	2679	8969
230	2688	8948
231	2698	8932
232	2709	8918
233	2719	8901
234	2729	8886
235	2739	8869
236	2750	8854
237	2761	8842
238	2772	8827
239	2782	8812
240	2792	8795
241	2803	8780
242	2812	8762
243	2822	8746
244	2832	8728
245	2845	8720
246	2855	8706
247	2866	8690
248	2876	8676
249	2886	8658
250	2896	8643
251	2906	8625
252	2915	8608
253	2925	8590
254	2935	8575
255	2945	8558
256	2954	8542
257	2963	8524
258	2973	8506
259	2983	8492
260	2995	8481
261	3006	8468
262	3016	8452
263	3027	8438
264	3037	8424
265	3048	8410
266	3057	8393
267	3066	8376
268	3077	8362
269	3087	8348
270	3097	8331
271	3107	8316
272	3117	8302
273	3127	8287
274	3137	8272
275	3148	8258
276	3158	8242
277	3168	8228
278	3178	8213
279	3189	8201
280	3199	8185
281	3208	8169
282	3218	8155
283	3227	8138
284	3237	8120
285	3247	8108
286	3258	8094
287	3267	8078
288	3279	8068
289	3289	8054
290	3299	8039
291	3310	8026
292	3320	8011
293	3330	7997
294	3341	7986
295	3351	7970
296	3361	7956
297	3371	7942
298	3381	7928
299	3391	7913
300	3403	7903
301	3413	7889
302	3424	7877
303	3434	7862
304	3445	7851
305	3456	7838
306	3466	7825
307	3477	7813
308	3487	7799
309	3497	7784
310	3507	7770
311	3517	7756
312	3527	7741
313	3537	7727
314	3546	7712
315	3557	7699
316	3567	7685
317	3576	7669
318	3585	7655
319	3595	7640
320	3606	7629
321	3616	7615
322	3628	7605
323	3639	7594
324	3650	7582
325	3661	7570
326	3671	7555
327	3681	7541
328	3690	7527
329	3700	7512
330	3710	7499
331	3719	7484
332	3730	7471
333	3739	7456
334	3749	7443
335	3760	7431
336	3770	7417
337	3780	7403
338	3791	7393
339	3801	7380
340	3811	7366
341	3821	7353
342	3831	7339
343	3841	7325
344	3851	7312
345	3860	7297
346	3870	7283
347	3880	7269
348	3889	7254
349	3898	7240
350	3909	7228
351	3920	7216
352	3930	7203
353	3939	7189
354	3950	7177
355	3961	7165
356	3971	7153
357	3980	7138
358	3991	7126
359	4001	7113
360	4011	7100
361	4022	7089
362	4033	7078
363	4043	7065
364	4053	7052
365	4064	7040
366	4075	7028
367	4085	7016
368	4096	7004
369	4106	6992
370	4115	6978
371	4125	6965
372	4135	6951
373	4145	6939
374	4155	6925
375	4165	6912
376	4175	6899
377	4184	6886
378	4194	6872
379	4204	6860
380	4216	6850
381	4227	6839
382	4242	6833
383	4254	6825
384	4267	6816
385	4279	6806
386	4291	6797
387	4302	6786
388	4313	6775
389	4324	6763
390	4333	6750
391	4345	6739
392	4356	6729
393	4367	6717
394	4378	6706
395	4389	6695
396	4400	6683
397	4413	6675
398	4423	6662
399	4433	6650
400	4444	6638
401	4455	6628
402	4467	6617
403	4478	6607
404	4489	6596
405	4500	6584
406	4511	6572
407	4522	6561
408	4536	6554
409	4547	6544
410	4559	6534
411	4570	6523
412	4581	6511
413	4593	6501
414	4602	6487
415	4613	6476
416	4629	6472
417	4641	6462
418	4654	6454
419	4669	6448
420	4683	6441
421	4697	6434
422	4711	6427
423	4726	6420
424	4741	6414
425	4756	6408
426	4769	6400
427	4782	6391
428	4794	6381
429	4805	6370
430	4815	6357
431	4826	6346
432	4837	6334
433	4850	6325
434	4860	6312
435	4870	6300
436	4880	6287
437	4891	6276
438	4901	6264
439	4911	6251
440	4921	6238
441	4931	6225
442	4941	6213
443	4951	6200
444	4960	6187
445	4970	6174
446	4981	6162
447	4990	6149
448	5001	6137
449	5011	6125
450	5021	6112
451	5030	6099
452	5041	6087
453	5051	6075
454	5061	6062
455	5071	6049
456	5080	6037
457	5090	6024
458	5100	6011
459	5110	5998
460	5119	5985
461	5129	5973
462	5141	5962
463	5151	5950
464	5161	5938
465	5171	5926
466	5182	5914
467	5192	5902
468	5202	5890
469	5213	5878
470	5223	5866
471	5235	5856
472	5245	5844
473	5256	5833
474	5267	5822
475	5278	5810
476	5288	5798
477	5299	5786
478	5308	5774
479	5318	5762
480	5329	5750
481	5338	5737
482	5348	5724
483	5358	5712
484	5367	5699
485	5377	5687
486	5387	5675
487	5397	5663
488	5407	5650
489	5416	5638
490	5426	5625
491	5436	5613
492	5446	5601
493	5456	5588
494	5468	5579
495	5480	5568
496	5491	5558
497	5501	5546
498	5512	5534
499	5522	5522
500	5533	5511
501	5542	5498
502	5551	5485
503	5562	5473
504	5572	5462
505	5582	5450
506	5592	5438
507	5604	5428
508	5615	5416
509	5625	5404
510	5635	5393
511	5645	5380
512	5655	5369
513	5666	5357
514	5676	5346
515	5687	5334
516	5699	5324
517	5710	5313
518	5719	5300
519	5729	5288
520	5740	5277
521	5751	5266
522	5762	5255
523	5773	5244
524	5782	5232
525	5793	5220
526	5803	5208
527	5812	5196
528	5823	5184
529	5833	5172
530	5843	5160
531	5852	5148
532	5862	5136
533	5872	5124
534	5882	5113
535	5893	5101
536	5903	5090
537	5916	5080
538	5926	5068
539	5937	5057
540	5948	5046
541	5958	5035
542	5969	5023
543	5978	5011
544	5987	4998
545	5998	4987
546	6009	4976
547	6019	4964
548	6029	4952
549	6039	4941
550	6050	4930
551	6060	4918
552	6070	4906
553	6081	4895
554	6091	4883
555	6102	4873
556	6112	4861
557	6123	4850
558	6133	4838
559	6143	4827
560	6153	4815
561	6163	4803
562	6173	4791
563	6182	4779
564	6192	4767
565	6202	4755
566	6212	4744
567	6223	4733
568	6234	4722
569	6244	4711
570	6254	4699
571	6265	4688
572	6275	4676
573	6285	4664
574	6294	4652
575	6304	4641
576	6315	4629
577	6325	4618
578	6336	4607
579	6347	4596
580	6357	4584
581	6367	4573
582	6378	4562
583	6387	4550
584	6398	4538
585	6408	4527
586	6418	4515
587	6428	4504
588	6438	4492
589	6447	4480
590	6458	4469
591	6468	4457
592	6479	4447
593	6488	4435
594	6498	4423
595	6508	4411
596	6519	4400
597	6529	4389
598	6574	4401
599	6605	4403
600	6626	4399
601	6638	4388
602	6650	4378
603	6665	4370
604	6678	4360
605	6690	4349
606	6702	4339
607	6715	4329
608	6728	4319
609	6740	4309
610	6751	4298
611	6762	4287
612	6773	4276
613	6784	4264
614	6793	4253
615	6804	4241
616	6814	4229
617	6823	4218
618	6835	4207
619	6846	4196
620	6859	4186
621	6871	4175
622	6883	4165
623	6896	4155
624	6908	4144
625	6919	4134
626	6931	4123
627	6941	4111
628	6953	4101
629	6965	4090
630	6976	4080
631	6989	4070
632	7000	4058
633	7012	4048
634	7023	4037
635	7034	4026
636	7044	4014
637	7054	4002
638	7067	3992
639	7078	3981
640	7089	3970
641	7099	3958
642	7110	3947
643	7119	3935
644	7129	3923
645	7140	3912
646	7151	3902
647	7163	3891
648	7175	3880
649	7189	3871
650	7199	3859
651	7210	3848
652	7223	3838
653	7234	3827
654	7246	3816
655	7255	3804
656	7266	3793
657	7278	3782
658	7289	3772
659	7301	3761
660	7313	3750
661	7323	3739
662	7334	3728
663	7346	3717
664	7358	3706
665	7370	3696
666	7380	3684
667	7390	3673
668	7403	3663
669	7415	3652
670	7426	3641
671	7437	3630
672	7447	3618
673	7459	3607
674	7471	3597
675	7483	3586
676	7494	3575
677	7504	3564
678	7514	3552
679	7523	3540
680	7533	3529
681	7544	3517
682	7554	3506
683	7565	3495
684	7576	3484
685	7587	3473
686	7598	3462
687	7609	3450
688	7619	3439
689	7630	3427
690	7641	3416
691	7650	3405
692	7661	3394
693	7671	3382
694	7681	3370
695	7692	3359
696	7702	3348
697	7711	3336
698	7721	3325
699	7732	3313
700	7742	3302
701	7753	3291
702	7765	3280
703	7774	3269
704	7784	3257
705	7794	3246
706	7804	3234
707	7814	3222
708	7824	3211
709	7834	3199
710	7845	3188
711	7855	3177
712	7864	3165
713	7875	3154
714	7884	3142
715	7894	3131
716	7920	3126
717	7930	3114
718	7941	3103
719	7952	3092
720	7962	3081
721	7972	3069
722	7982	3058
723	7993	3047
724	8005	3036
725	8015	3025
726	8025	3013
727	8035	3002
728	8046	2991
729	8056	2979
730	8066	2968
731	8077	2957
732	8087	2946
733	8099	2935
734	8109	2923
735	8119	2912
736	8129	2900
737	8139	2889
738	8148	2878
739	8158	2866
740	8169	2855
741	8179	2844
742	8190	2832
743	8202	2822
744	8215	2811
745	8224	2800
746	8236	2789
747	8247	2778
748	8258	2767
749	8268	2756
750	8278	2744
751	8288	2733
752	8298	2721
753	8308	2710
754	8318	2699
755	8328	2688
756	8339	2677
757	8349	2665
758	8359	2654
759	8370	2643
760	8380	2631
761	8390	2620
762	8400	2609
763	8410	2598
764	8420	2586
765	8431	2575
766	8442	2564
767	8452	2553
768	8463	2542
769	8474	2531
770	8485	2520
771	8494	2508
772	8504	2497
773	8514	2486
774	8523	2474
775	8533	2463
776	8543	2451
777	8552	2440
778	8562	2429
779	8572	2417
780	8582	2406
781	8592	2395
782	8603	2384
783	8615	2373
784	8624	2362
785	8635	2351
786	8646	2340
787	8656	2328
788	8666	2317
789	8676	2306
790	8686	2295
791	8696	2284
792	8707	2272
793	8716	2261
794	8728	2250
795	8739	2239
796	8750	2228
797	8760	2217
798	8771	2206
799	8781	2195
800	8791	2184
801	8801	2173
802	8812	2161
803	8823	2150
804	8833	2139
805	8843	2128
806	8853	2117
807	8863	2106
808	8873	2094
809	8882	2083
810	8892	2072
811	8901	2061
812	8911	2049
813	8921	2038
814	8931	2027
815	8942	2016
816	8953	2005
817	8964	1994
818	8973	1983
819	8984	1972
820	8994	1961
821	9005	1950
822	9015	1938
823	9025	1927
824	9036	1916
825	9046	1905
826	9061	1895
827	9077	1885
828	9089	1874
829	9099	1863
830	9109	1852
831	9121	1841
832	9130	1830
833	9142	1819
834	9152	1808
835	9161	1797
836	9171	1786
837	9181	1774
838	9191	1763
839	9201	1752
840	9210	1741
841	9219	1730
842	9229	1718
843	9239	1707
844	9249	1696
845	9259	1685
846	9271	1674
847	9282	1663
848	9292	1652
849	9303	1641
850	9313	1630
851	9324	1619
852	9333	1608
853	9344	1597
854	9353	1586
855	9364	1575
856	9375	1564
857	9394	1554
858	9404	1543
859	9413	1532
860	9423	1521
861	9434	1510
862	9446	1499
863	9458	1488
864	9471	1478
865	9484	1467
866	9496	1456
867	9507	1445
868	9520	1435
869	9531	1424
870	9541	1413
871	9552	1402
872	9563	1391
873	9574	1380
874	9586	1369
875	9598	1358
876	9611	1348
877	9623	1337
878	9634	1326
879	9646	1315
880	9659	1304
881	9671	1293
882	9682	1283
883	9693	1272
884	9706	1261
885	9718	1250
886	9729	1239
887	9740	1228
888	9751	1217
889	9763	1206
890	9774	1195
891	9786	1184
892	9797	1173
893	9807	1162
894	9817	1151
895	9830	1140
896	9841	1130
897	9851	1119
898	9862	1107
899	9873	1097
900	9884	1086
901	9898	1075
902	9910	1064
903	9921	1053
904	9933	1042
905	9944	1031
906	9956	1020
907	9968	1009
908	9979	999
909	9990	988
910	10001	977
911	10014	966
912	10025	955
913	10036	944
914	10048	933
915	10059	922
916	10069	911
917	10080	900
918	10092	889
919	10103	878
920	10114	867
921	10123	856
922	10133	845
923	10143	834
924	10153	823
925	10163	812
926	10174	801
927	10184	790
928	10194	779
929	10203	768
930	10214	757
931	10226	746
932	10237	735
933	10250	724
934	10261	713
935	10274	702
936	10285	691
937	10296	680
938	10307	669
939	10319	658
940	10331	647
941	10342	636
942	10353	625
943	10364	614
944	10375	603
945	10386	592
946	10397	581
947	10418	571
948	10429	560
949	10439	549
950	10450	538
951	10461	527
952	10472	516
953	10483	505
954	10493	494
955	10503	483
956	10513	472
957	10523	461
958	10533	450
959	10547	439
960	10558	428
961	10571	417
962	10588	406
963	10599	395
964	10609	384
965	10621	373
966	10631	362
967	10641	351
968	10651	340
969	10661	329
970	10672	318
971	10683	307
972	10695	296
973	10706	285
974	10719	274
975	10731	263
976	10742	252
977	10753	241
978	10764	230
979	10776	219
980	10786	208
981	10796	197
982	10808	186
983	10818	175
984	10827	164
985	10837	153
986	10847	142
987	10857	131
988	10867	120
989	10877	109
990	10887	98
991	10897	87
992	10906	76
993	10916	65
994	10925	54
995	10935	43
996	10947	32
997	10958	21
998	10970	10
999	10981	0
